Country,Year, Electricity/Heat  (MtCO??), Manufacturing/Construction  (MtCO??), Transportation  (MtCO??), Other Fuel Combustion  (MtCO??), Fugitive Emissions (MtCO??)
India,2002,579.03,235.85,96.52,102.98,1.34842
Indonesia,2002,108.2,76.7,70.55,41.79,7.96009
Iran,2002,102.15,50.15,85.68,108.03,15.05635
Iraq,2002,28.83,10.62,28.56,8.87,1.72947
Ireland,2002,16.21,5.63,10.91,9.74,0
Israel,2002,39.57,1.85,9.78,7.72,0
Italy,2002,157.96,79.57,119.93,77.53,0
Jamaica,2002,5.6,0.74,2.05,1.51,0
Japan,2002,489.03,260.27,253.06,195.32,0
Jordan,2002,6.68,2.11,3.73,2.58,0
Kazakhstan,2002,84.28,22.3,9.03,4.03,0
Kenya,2002,1.14,1.88,2.81,1.02,0
Kiribati,2002,,,,,0
Korea (North),2002,11.29,41.9,1.56,12.94,0
Korea (South),2002,188.2,100.22,86.07,71.63,0
Kuwait,2002,38.49,10.06,6.45,0.35,1.27434
Kyrgyzstan,2002,1.61,1.47,0.77,0.84,0
Laos,2002,,,,,0
Latvia,2002,2.47,1.05,2.6,1.1,0
Lebanon,2002,8.52,1.37,3.71,1.67,0
Lesotho,2002,,,,,0
Liberia,2002,,,,,0
Libya,2002,22.16,5.98,11.59,2.51,2.45766
Lithuania,2002,5.41,2.16,3.45,1.04,0
Luxembourg,2002,1.16,1.18,5.25,1.69,0
"Macedonia, FYR",2002,5.71,0.86,0.99,0.47,0
Madagascar,2002,,,,,0
Malawi,2002,,,,,0
Malaysia,2002,53.31,31.93,34.37,4.53,2.65484
Maldives,2002,,,,,0
Mali,2002,,,,,0
Malta,2002,1.92,0,0.28,0.09,0
Mauritania,2002,,,,,0
Mauritius,2002,,,,,0
Mexico,2002,158.33,56.93,109.27,32.17,6.05222
Moldova,2002,4,0.52,0.71,1.7,0
Mongolia,2002,6.85,0.65,1.03,0.87,0
Montenegro,2002,,,,,
Morocco,2002,13.85,5.16,8.9,5.22,0
Mozambique,2002,0.04,0.25,0.9,0.19,0
Myanmar,2002,2.69,1.52,3.44,0.49,0.18327
Namibia,2002,0,0.19,1.12,0.59,0
Nauru,2002,,,,,0
Nepal,2002,0,0.63,0.78,1.23,0
Netherlands,2002,71.81,36.03,33.26,37.33,0.09793
New Zealand,2002,8.58,8.72,12.5,3.07,0.07851
Nicaragua,2002,1.56,0.53,1.51,0.21,0
Niger,2002,,,,,0
Nigeria,2002,14.64,4.56,25.5,5.69,34.40729
Niue,2002,,,,,0
Norway,2002,10.9,7.04,12.13,4.1,1.09666
Oman,2002,14.95,5.05,2.78,1.93,1.63844
Pakistan,2002,35.08,28.69,26.93,12.07,0
Palau,2002,,,,,
Panama,2002,1.59,0.76,2.34,0.48,0
Papua New Guinea,2002,,,,,0
Paraguay,2002,0,0.24,3.13,0.18,0
Peru,2002,4.86,7.64,8.83,4.43,0.2746
Philippines,2002,24.35,8.83,26.55,6.54,0.53571
Poland,2002,164.63,42.2,25.91,46.67,0
Portugal,2002,26.76,11.69,18.46,5.89,0
Qatar,2002,15.95,10.26,2.87,0.14,0.54615
Romania,2002,49.14,22.16,11.75,8.16,0
Russian Federation,2002,920.52,197.76,196.92,172,8.77209
Rwanda,2002,,,,,0
Saint Kitts & Nevis,2002,,,,,0
Saint Lucia,2002,,,,,0
Saint Vincent & Grenadines,2002,,,,,0
Samoa,2002,,,,,0
Sao Tome & Principe,2002,,,,,0
Saudi Arabia,2002,146.16,58.54,65.74,3.45,0.41871
Senegal,2002,1.64,0.71,1.27,0.42,0
Serbia,2002,32.55,6.86,4.44,4.34,
Seychelles,2002,,,,,0
Sierra Leone,2002,,,,,0
Singapore,2002,31.05,9.17,5.99,0.4,0
Slovakia,2002,14.63,10.51,6.09,6.75,0.01602
Slovenia,2002,6.35,2.06,3.76,2.93,0
Solomon Islands,2002,,,,,0
South Africa,2002,180.68,55.45,36.94,20.28,0.30948
Spain,2002,117.31,57.81,95.69,30.9,0
Sri Lanka,2002,3.48,0.98,5.26,1.25,0
Sudan,2002,2.13,0.83,3.79,1.24,0
Suriname,2002,,,,,0
Swaziland,2002,,,,,0
Sweden,2002,11.46,13.85,21.45,7.13,0
Switzerland,2002,3.49,5.85,16.14,17,0
Syria,2002,18.68,7.46,8.64,7.47,0.45512
Taiwan,2002,135.58,53.26,35.1,10.49,0
Tajikistan,2002,0.46,0,0.12,1.5,0
Tanzania,2002,0.16,0.43,2.13,0.45,0
Thailand,2002,69.18,47.49,47.43,13.87,0
Togo,2002,0.05,0.24,0.47,0.12,0
Tonga,2002,,,,,0
Trinidad & Tobago,2002,8.04,14.47,1.67,0.5,3.45233
Tunisia,2002,6.89,4.01,4.19,3.68,0.51033
Turkey,2002,70.45,53.91,35.12,32.77,0.00715
Turkmenistan,2002,15.71,2.17,5.76,15.88,0
Uganda,2002,,,,,0
Ukraine,2002,134.2,88.57,29.43,46.74,0
United Arab Emirates,2002,37.73,39.78,18.58,0.12,0.85563
United Kingdom,2002,227.21,68.15,122.33,104.59,3.04549
United States of America,2002,2610.92,645.42,1724.55,624.29,5.54594
Uruguay,2002,0.26,0.69,2.18,1.11,0
Uzbekistan,2002,43.14,21.89,10.23,48.92,0
Vanuatu,2002,,,,,0
Venezuela,2002,52.38,34.9,35.4,6.5,8.98759
Vietnam,2002,15.39,18.55,13.7,9.29,0.63048
Yemen,2002,4.44,1.48,4.2,4.29,0
Zambia,2002,0.1,0.79,0.78,0.18,0
Zimbabwe,2002,6.23,2.09,1.65,1.63,0
World,2002,10857.53,4594.99,5026.59,3038.51,153.44377
European Union (15),2002,1223.93,544.56,817.17,614.24,6.06435
European Union (28),2002,1606.31,667.86,908.69,716.9,6.10836
Afghanistan,2003,,,,,0
Albania,2003,0.37,0.57,1.9,1.04,0
Algeria,2003,32.48,9.34,21.55,10.6,7.83837
Angola,2003,1.24,2.48,2.73,1.24,10.64988
Antigua & Barbuda,2003,,,,,0
Argentina,2003,37.1,32.31,34.87,26.77,1.99872
Armenia,2003,0.87,0.98,0.58,0.82,0
Australia,2003,220,48.16,75.63,17.77,0.43151
Austria,2003,23.58,11.7,23.4,13.91,0
Azerbaijan,2003,16.21,2.98,3.17,5.98,0
Bahamas,2003,,,,,0
Bahrain,2003,10.35,3.7,1.93,0.21,0
Bangladesh,2003,11.54,10.29,3.89,6.72,0
Barbados,2003,,,,,0
Belarus,2003,33.59,13.71,6.77,6.72,0
Belgium,2003,30.4,31.61,25.94,32.06,0
Belize,2003,,,,,0
Benin,2003,0.06,0.14,1.35,0.7,0
Bhutan,2003,,,,,0
Bolivia,2003,2.28,0.97,3.08,1.63,0.56327
Bosnia & Herzegovina,2003,10.17,0.41,2.03,1.71,0
Botswana,2003,1.47,0.93,1.33,0.19,0
Brazil,2003,50.44,92.01,126.07,34.3,2.94756
Brunei,2003,4.14,0.14,0.91,0.06,0
Bulgaria,2003,29,8.52,6.35,2.52,0
Burkina Faso,2003,,,,,0
Burundi,2003,,,,,0
Cambodia,2003,0.6,0.1,1.35,0.32,0
Cameroon,2003,0.11,0.22,2.08,0.57,2.74894
Canada,2003,203.33,93.4,151.93,105.86,3.86746
Cape Verde,2003,,,,,0
Central African Republic,2003,,,,,0
Chad,2003,,,,,0
Chile,2003,17.47,15.42,16.16,4.25,0.1824
China,2003,2149.79,1327.85,305.9,393.09,0
Colombia,2003,13.65,18.97,17.58,6.33,0.80766
Comoros,2003,,,,,0
Congo,2003,0.03,0.07,0.55,0.08,2.18459
"Congo, Dem. Republic",2003,0.01,0.73,0.81,0.27,0
Cook Islands,2003,,,,,0
Costa Rica,2003,0.23,0.97,3.55,0.55,0
Cote d'Ivoire,2003,2.18,0.56,1.03,1.29,0
Croatia,2003,8.22,3.63,5.19,3.89,0
Cuba,2003,13.34,6,1.87,3.47,0.18205
Cyprus,2003,3.5,1.36,1.87,0.26,0
Czech Republic,2003,68.22,22.64,15.19,14.67,0
Denmark,2003,32.7,5.25,12.6,6.73,0.48488
Djibouti,2003,,,,,0
Dominica,2003,,,,,0
Dominican Republic,2003,9.42,1.25,5.03,2.48,0
Ecuador,2003,3.34,4.87,9.67,2.5,1.87613
Egypt,2003,46.57,32.97,29.72,11.45,1.54742
El Salvador,2003,1.52,1.23,2.66,0.51,0
Equatorial Guinea,2003,,,,,2.18459
Eritrea,2003,0.26,0.04,0.27,0.08,0
Estonia,2003,12.66,1.15,1.98,0.77,0
Ethiopia,2003,0.01,1.03,2.1,1.43,0
Fiji,2003,,,,,0
Finland,2003,41.24,11.04,12.26,6.69,0
France,2003,68.05,82.02,132.05,103.04,0
Gabon,2003,0.5,0.39,0.33,0.18,2.91279
Gambia,2003,,,,,0
Georgia,2003,0.83,0.48,1.23,0.58,0
Germany,2003,374.06,117.61,160.62,171.57,2.3343
Ghana,2003,1.76,0.95,3.07,0.56,0
Greece,2003,48.57,10.24,20.86,14.05,0
Grenada,2003,,,,,0
Guatemala,2003,3.11,0.94,4.84,0.64,0
Guinea,2003,,,,,0
Guinea-Bissau,2003,,,,,0
Guyana,2003,,,,,0
Haiti,2003,0.17,0.44,0.79,0.24,0
Honduras,2003,1.6,0.82,2.27,1.49,0
Hungary,2003,23.4,6.69,10.38,16.79,0.04212
Iceland,2003,0.01,0.76,0.63,0.78,0
India,2003,603.66,228.49,98.15,109.94,2.39119
Indonesia,2003,120.26,91.66,71.93,41.35,8.90772
Iran,2003,106.75,54.27,90.5,108.8,22.2173
Iraq,2003,31.87,8.87,24.37,9.59,1.82049
Ireland,2003,15.39,5.25,11.08,10.04,0
Israel,2003,40.33,1.73,9.96,8.77,0
Italy,2003,163.62,84.56,120.96,82.44,0
Jamaica,2003,5.88,0.73,2.04,1.53,0
Japan,2003,506.76,256.93,250.59,190.7,0
Jordan,2003,6.1,2.17,3.79,2.84,0
Kazakhstan,2003,91.94,26.96,8.57,7.63,0
Kenya,2003,0.94,1.65,2.53,0.75,0
Kiribati,2003,,,,,0
Korea (North),2003,11.44,42.92,1.52,13.24,0
Korea (South),2003,193.04,97.78,88.12,69.96,0
Kuwait,2003,37.36,14.11,7.01,0.36,2.00254
Kyrgyzstan,2003,1.65,1.66,0.93,0.97,0
Laos,2003,,,,,0
Latvia,2003,2.42,1.09,2.74,1.18,0
Lebanon,2003,8.54,1.69,3.95,0.94,0
Lesotho,2003,,,,,0
Liberia,2003,,,,,0
Libya,2003,23.9,5.62,11.76,2.56,1.36537
Lithuania,2003,5.32,2.18,3.49,1.08,0
Luxembourg,2003,1.17,1.01,5.8,1.79,0
"Macedonia, FYR",2003,6,1.1,0.99,0.61,0
Madagascar,2003,,,,,0
Malawi,2003,,,,,0
Malaysia,2003,56.48,32.73,36.62,3.96,3.29566
Maldives,2003,,,,,0
Mali,2003,,,,,0
Malta,2003,2.12,0,0.36,0.1,0
Mauritania,2003,,,,,0
Mauritius,2003,,,,,0
Mexico,2003,162.35,53.34,116.06,31.43,5.75653
Moldova,2003,4.17,0.56,0.84,1.91,0
Mongolia,2003,6.37,0.69,0.99,1.06,0
Montenegro,2003,,,,,
Morocco,2003,14.3,4.06,9.27,5.33,0
Mozambique,2003,0.03,0.32,1.11,0.2,0
Myanmar,2003,3.14,2.68,3.84,0.69,0.36653
Namibia,2003,0.02,0.2,1.17,0.62,0
Nauru,2003,,,,,0
Nepal,2003,0,0.76,0.78,1.33,0
Netherlands,2003,73.04,38.1,33.73,38.52,0.0855
New Zealand,2003,10.04,7.13,13.02,3.34,0.05224
Nicaragua,2003,1.6,0.63,1.51,0.22,0
Niger,2003,,,,,0
Nigeria,2003,14.04,4.3,25.49,4.15,33.67909
Niue,2003,,,,,0
Norway,2003,11.81,8.6,12.51,4.16,1.1535
Oman,2003,15.36,5.08,3.07,2.03,1.45639
Pakistan,2003,31.48,33.65,28.43,12.2,0
Palau,2003,,,,,
Panama,2003,1.99,0.26,2.46,0.5,0
Papua New Guinea,2003,,,,,0
Paraguay,2003,0,0.16,3.34,0.18,0
Peru,2003,4.88,7.25,9.28,3.72,0.30691
Philippines,2003,26.56,9.95,25.5,6.34,0.35714
Poland,2003,172.84,42.23,28.3,46.87,0
Portugal,2003,22.89,10.5,19.43,5.56,0
Qatar,2003,17.86,9.39,3.33,0.14,0.54615
Romania,2003,53.54,21.43,12.38,9.68,0
Russian Federation,2003,943.88,192.05,205.8,176.14,9.6493
Rwanda,2003,,,,,0
Saint Kitts & Nevis,2003,,,,,0
Saint Lucia,2003,,,,,0
Saint Vincent & Grenadines,2003,,,,,0
Samoa,2003,,,,,0
Sao Tome & Principe,2003,,,,,0
Saudi Arabia,2003,154.54,65.08,67.98,3.59,0.21846
Senegal,2003,1.39,0.59,1.39,0.46,0
Serbia,2003,34.07,8.18,4.87,4.6,
Seychelles,2003,,,,,0
Sierra Leone,2003,,,,,0
Singapore,2003,26.9,15.22,6.01,0.38,0
Slovakia,2003,16.78,10.18,5.58,5.91,0.01284
Slovenia,2003,6.06,2.49,3.82,2.76,0
Solomon Islands,2003,,,,,0
South Africa,2003,199.79,58.75,38.55,22.64,0.30948
Spain,2003,111.18,64.51,100.59,33.41,0
Sri Lanka,2003,3.92,1.31,5.6,1.13,0
Sudan,2003,2.35,0.86,3.54,1.28,0
Suriname,2003,,,,,0
Swaziland,2003,,,,,0
Sweden,2003,12.85,13.21,21.7,7.14,0
Switzerland,2003,3.44,6.13,16.27,17.93,0
Syria,2003,20.14,7.39,7.78,6.56,0.50974
Taiwan,2003,146.12,54.46,35.05,11.06,0
Tajikistan,2003,0.5,0,0.1,1.49,0
Tanzania,2003,0.13,0.43,2.27,0.47,0
Thailand,2003,72.27,49.79,50.67,14.82,0
Togo,2003,0.04,0.17,0.69,0.2,0
Tonga,2003,,,,,0
Trinidad & Tobago,2003,10.55,13.97,1.67,0.43,0
Tunisia,2003,5.73,4.76,4.33,3.79,0.81653
Turkey,2003,71.18,60.19,35.17,35.58,0.00357
Turkmenistan,2003,16.45,2.45,6.44,18.75,0
Uganda,2003,,,,,0
Ukraine,2003,152.73,97.71,28.91,50.41,0
United Arab Emirates,2003,41.73,38.57,20.65,0.12,1.76588
United Kingdom,2003,238.02,68,123.81,104.69,2.76176
United States of America,2003,2644.03,645.34,1749.36,641.67,5.51137
Uruguay,2003,0.29,0.73,2.1,1.08,0
Uzbekistan,2003,41.91,20.26,10.66,45.77,0
Vanuatu,2003,,,,,0
Venezuela,2003,49.1,32.64,35.96,5.4,6.41971
Vietnam,2003,15.59,20.63,15.49,9.09,0.54041
Yemen,2003,4.67,2.36,4.98,4.67,0
Zambia,2003,0.11,0.83,0.82,0.19,0
Zimbabwe,2003,4.59,2.14,1.49,1.97,0
World,2003,11466.66,4842.92,5142.99,3139.28,160.06393
European Union (15),2003,1256.76,554.61,824.83,631.64,5.66644
European Union (28),2003,1660.84,678.2,922.46,738.12,5.7214
Afghanistan,2004,,,,,0
Albania,2004,0.29,0.64,2.27,0.95,0
Algeria,2004,31.68,9.94,21.81,11.43,6.64302
Angola,2004,0.89,3.56,3.11,1.29,11.28705
Antigua & Barbuda,2004,,,,,0
Argentina,2004,45.76,36.01,36.24,29.31,1.5808
Armenia,2004,0.76,1.11,0.6,0.99,0
Australia,2004,230.21,49.99,78.37,17.73,0.38461
Austria,2004,24.16,12.38,23.73,13.44,0
Azerbaijan,2004,15.63,3.85,3.82,6,0
Bahamas,2004,,,,,0
Bahrain,2004,10.89,3.6,2.11,0.22,0
Bangladesh,2004,13.69,9.25,3.91,7.02,0
Barbados,2004,,,,,0
Belarus,2004,36.31,13.14,6.93,6.66,0
Belgium,2004,30.43,29.64,26.52,30.43,0
Belize,2004,,,,,0
Benin,2004,0.06,0.15,1.39,0.82,0
Bhutan,2004,,,,,0
Bolivia,2004,2.33,1.04,3.36,1.99,0.32706
Bosnia & Herzegovina,2004,10.1,0.83,2.37,1.67,0
Botswana,2004,1.73,0.67,1.45,0.25,0
Brazil,2004,56.2,94.87,134.89,34.77,2.65823
Brunei,2004,3.78,0.12,0.96,0.05,0
Bulgaria,2004,28.22,8.43,6.76,2.07,0
Burkina Faso,2004,,,,,0
Burundi,2004,,,,,0
Cambodia,2004,0.66,0.11,1.37,0.24,0
Cameroon,2004,0.11,0.22,2.14,0.53,3.09484
Canada,2004,191.93,96.64,156.67,105.74,3.55913
Cape Verde,2004,,,,,0
Central African Republic,2004,,,,,0
Chad,2004,,,,,0
Chile,2004,20.86,15.27,16.75,4.88,0.1824
China,2004,2434.77,1596.27,349.43,456.82,0
Colombia,2004,12.44,18.51,20.06,5.73,0.80766
Comoros,2004,,,,,0
Congo,2004,0.04,0.05,0.67,0.01,2.09357
"Congo, Dem. Republic",2004,0.01,0.78,0.89,0.27,0
Cook Islands,2004,,,,,0
Costa Rica,2004,0.13,0.97,3.9,0.4,0
Cote d'Ivoire,2004,2.33,0.58,1.21,1.34,0
Croatia,2004,7.16,4.08,5.36,3.81,0
Cuba,2004,13.15,5.3,1.95,3.99,0.18205
Cyprus,2004,3.28,1.39,1.97,0.23,0
Czech Republic,2004,68.25,23.42,15.92,14.25,0
Denmark,2004,26.9,5.37,12.98,6.45,0.53354
Djibouti,2004,,,,,0
Dominica,2004,,,,,0
Dominican Republic,2004,8.45,1.27,5.3,2.74,0
Ecuador,2004,4.01,4.55,9.41,2.65,1.87613
Egypt,2004,58.54,27.87,30.4,14.12,1.45639
El Salvador,2004,1.45,1.18,2.81,0.5,0
Equatorial Guinea,2004,,,,,3.45893
Eritrea,2004,0.28,0.04,0.25,0.09,0
Estonia,2004,12.65,1.29,2.02,0.75,0
Ethiopia,2004,0.02,1.2,2.26,1.32,0
Fiji,2004,,,,,0
Finland,2004,37.39,11.12,12.56,6.3,0
France,2004,67.47,78.18,132.28,107.39,0
Gabon,2004,0.52,0.38,0.34,0.18,2.91279
Gambia,2004,,,,,0
Georgia,2004,1.05,0.42,1.19,0.68,0
Germany,2004,382.16,120.82,162.64,162.55,2.14289
Ghana,2004,0.67,1.03,3.56,0.63,0
Greece,2004,49.31,9.44,21.27,13.26,0
Grenada,2004,,,,,0
Guatemala,2004,2.49,2.25,4.69,0.68,0
Guinea,2004,,,,,0
Guinea-Bissau,2004,,,,,0
Guyana,2004,,,,,0
Haiti,2004,0.16,0.38,1.11,0.24,0
Honduras,2004,2.2,0.91,2.09,1.52,0
Hungary,2004,21.37,7.18,10.87,16.74,0.03871
Iceland,2004,0.01,0.83,0.66,0.75,0
India,2004,660.46,241.29,102.22,114.33,1.97768
Indonesia,2004,118.44,95.19,73.8,43.46,8.32019
Iran,2004,118.06,58.22,95.97,117.51,22.40091
Iraq,2004,22.22,10.79,30.63,10.29,1.54742
Ireland,2004,14.97,5.59,11.73,10,0
Israel,2004,40.27,1.71,9.64,9.49,0.03474
Italy,2004,177.57,73.33,123.35,84.29,0
Jamaica,2004,4.46,0.49,2.09,3.05,0
Japan,2004,501.02,264.13,250.57,189.91,0
Jordan,2004,6.71,2.63,4.36,3.06,0
Kazakhstan,2004,95.66,34.23,9.14,6.62,0
Kenya,2004,1.45,1.64,2.8,0.88,0
Kiribati,2004,,,,,0
Korea (North),2004,11.67,43.9,1.53,13.54,0
Korea (South),2004,220.67,94.8,88.85,65.49,0
Kuwait,2004,40.16,14.16,7.46,0.37,1.82049
Kyrgyzstan,2004,1.64,1.58,1.17,0.75,0
Laos,2004,,,,,0
Latvia,2004,2.21,1.11,2.88,1.25,0
Lebanon,2004,7.47,1.98,3.96,1.84,0
Lesotho,2004,,,,,0
Liberia,2004,,,,,0
Libya,2004,23.83,6.25,12.26,2.44,1.63844
Lithuania,2004,5.51,2.22,3.83,1.11,0
Luxembourg,2004,1.38,1.21,6.78,1.78,0
"Macedonia, FYR",2004,5.85,0.92,1.01,0.66,0
Madagascar,2004,,,,,0
Malawi,2004,,,,,0
Malaysia,2004,63.02,36.01,39.31,4.24,3.11257
Maldives,2004,,,,,0
Mali,2004,,,,,0
Malta,2004,2.02,0.01,0.44,0.11,0
Mauritania,2004,,,,,0
Mauritius,2004,,,,,0
Mexico,2004,157.39,56.47,122.62,32.36,2.98133
Moldova,2004,3.68,0.65,0.83,2.3,0
Mongolia,2004,6.52,0.69,1.15,0.99,0
Montenegro,2004,,,,,
Morocco,2004,15.69,5.4,9.69,5.57,0
Mozambique,2004,0.04,0.32,1.13,0.21,0
Myanmar,2004,2.98,2.03,4.22,0.76,0.36653
Namibia,2004,0,0.22,1.24,0.66,0
Nauru,2004,,,,,0
Nepal,2004,0.01,0.65,0.83,1.17,0
Netherlands,2004,75.07,37.72,34.18,38.04,0.06529
New Zealand,2004,9.7,7.01,13.33,3.28,0.0424
Nicaragua,2004,1.67,0.64,1.44,0.35,0
Niger,2004,,,,,0
Nigeria,2004,16.98,4.93,23.54,3.18,33.67909
Niue,2004,,,,,0
Norway,2004,11.96,8.83,12.88,3.9,1.12359
Oman,2004,16.41,4.61,3.21,1.06,1.45639
Pakistan,2004,35.66,38.64,30.72,13.05,0
Palau,2004,,,,,
Panama,2004,1.53,0.91,2.53,0.4,0
Papua New Guinea,2004,,,,,0
Paraguay,2004,0,0.2,3.33,0.2,0
Peru,2004,6.86,8.41,10.5,3.34,0.5238
Philippines,2004,27.35,9.99,26.4,5.93,0.35714
Poland,2004,170.52,43.33,32.03,47.56,0
Portugal,2004,23.93,10.04,19.84,5.9,0
Qatar,2004,18.81,11.19,3.72,0.14,0.54615
Romania,2004,48.96,22.05,12.79,10.77,0
Russian Federation,2004,929.2,191.56,220.32,168.16,24.97568
Rwanda,2004,,,,,0
Saint Kitts & Nevis,2004,,,,,0
Saint Lucia,2004,,,,,0
Saint Vincent & Grenadines,2004,,,,,0
Samoa,2004,,,,,0
Sao Tome & Principe,2004,,,,,0
Saudi Arabia,2004,161.9,72.78,71.43,3.69,0.40051
Senegal,2004,1.57,0.91,1.5,0.51,0
Serbia,2004,35.14,10.07,6.21,4.57,
Seychelles,2004,,,,,0
Sierra Leone,2004,,,,,0
Singapore,2004,27.6,16.19,6.13,0.36,0
Slovakia,2004,15.91,9.67,5.88,5.82,0.0112
Slovenia,2004,6.13,2.54,4,2.7,0
Solomon Islands,2004,,,,,0
South Africa,2004,213.19,56.74,41.46,24.96,0.27307
Spain,2004,119.84,65.94,104.97,36.5,0
Sri Lanka,2004,4.42,0.97,5.78,1.16,0
Sudan,2004,2.47,0.9,4.04,1.5,0
Suriname,2004,,,,,0
Swaziland,2004,,,,,0
Sweden,2004,12.63,13.21,22.16,5.56,0
Switzerland,2004,3.75,6.15,16.37,17.86,0
Syria,2004,20.2,7.01,10.24,7.93,0.50974
Taiwan,2004,152.47,54.77,36.42,11.51,0
Tajikistan,2004,0.59,0,0.13,1.78,0
Tanzania,2004,0.35,0.49,2.44,0.51,0.02062
Thailand,2004,79.36,55.4,54.41,15.52,0
Togo,2004,0.08,0.19,0.64,0.13,0
Tonga,2004,,,,,0
Trinidad & Tobago,2004,10.91,14.95,1.77,0.42,0
Tunisia,2004,5.89,5.07,4.37,4.06,0.81653
Turkey,2004,72.58,59.68,35.91,39.09,0.00179
Turkmenistan,2004,17.4,2.68,6.33,19.6,0
Uganda,2004,,,,,0
Ukraine,2004,127.24,103.63,30.89,50.43,0
United Arab Emirates,2004,49.88,35.26,20.85,0.13,1.67485
United Kingdom,2004,236.26,65.14,125.21,108.56,2.94711
United States of America,2004,2678.81,676.51,1771.03,637.19,5.38839
Uruguay,2004,1.27,0.8,2.22,1.08,0
Uzbekistan,2004,41.23,19.4,9.44,45.12,0
Vanuatu,2004,,,,,0
Venezuela,2004,48.23,35.62,37.6,6.6,7.66223
Vietnam,2004,20.26,23.42,18.88,10.9,0.54041
Yemen,2004,5.05,2.49,5.17,4.95,0
Zambia,2004,0.11,0.79,0.86,0.18,0
Zimbabwe,2004,5.62,1.72,1.19,1.25,0
World,2004,11938.48,5212.74,5327.98,3222.48,172.43609
European Union (15),2004,1279.47,539.13,840.2,630.45,5.68883
European Union (28),2004,1671.66,665.85,944.95,737.62,5.73874
Afghanistan,2005,,,,,0
Albania,2005,0.3,0.55,2.35,0.79,0
Algeria,2005,32.54,10.49,23.93,12.41,5.87094
Angola,2005,1,2.77,2.43,0.99,11.52804
Antigua & Barbuda,2005,,,,,0
Argentina,2005,48.02,34.95,37.89,31.01,1.23557
Armenia,2005,0.94,1.37,0.67,1.14,0
Australia,2005,234.68,48.81,78.52,18.21,0.37975
Austria,2005,24.72,12.62,24.45,12.88,0
Azerbaijan,2005,16.44,3.54,4.24,6.6,0
Bahamas,2005,,,,,0
Bahrain,2005,11.4,4.05,2.48,0.23,0
Bangladesh,2005,14.83,9.72,4.65,7.6,0
Barbados,2005,,,,,0
Belarus,2005,35.69,11.74,7.65,6.99,0
Belgium,2005,29.22,27.18,25.77,30.83,0
Belize,2005,,,,,0
Benin,2005,0.08,0.14,1.53,0.91,0
Bhutan,2005,,,,,0
Bolivia,2005,2.85,1.08,3.51,1.99,0.34523
Bosnia & Herzegovina,2005,10.39,1.08,2.28,1.88,0
Botswana,2005,1.79,0.95,1.5,0.18,0
Brazil,2005,58.54,94.52,135.59,34.02,4.54386
Brunei,2005,3.7,0.12,0.94,0.05,0
Bulgaria,2005,28.27,8.34,7.44,2.08,0
Burkina Faso,2005,,,,,0
Burundi,2005,,,,,0
Cambodia,2005,0.76,0.13,1.49,0.25,0
Cameroon,2005,0.16,0.2,2.09,0.48,3.28106
Canada,2005,189.51,100.71,159.58,105.43,3.43215
Cape Verde,2005,,,,,0
Central African Republic,2005,,,,,0
Chad,2005,,,,,0
Chile,2005,20.86,14.56,18.37,4.4,0.12768
China,2005,2709.09,1829.74,383.12,481.15,0
Colombia,2005,12.99,18.96,20.26,5.84,0.80766
Comoros,2005,,,,,0
Congo,2005,0.04,0.05,0.68,0.06,3.955
"Congo, Dem. Republic",2005,0.01,0.85,1.1,0.31,0
Cook Islands,2005,,,,,0
Costa Rica,2005,0.29,0.96,4.03,0.42,0
Cote d'Ivoire,2005,3.13,0.41,1.25,1.05,0
Croatia,2005,7.14,4.21,5.55,3.84,0
Cuba,2005,13.1,6.43,1.89,3.71,0.18205
Cyprus,2005,3.45,1.01,2,0.54,0
Czech Republic,2005,66.45,23.19,17.21,12.72,0
Denmark,2005,23.67,5.18,13.24,6.33,0.37814
Djibouti,2005,,,,,0
Dominica,2005,,,,,0
Dominican Republic,2005,8.3,1.07,5.66,2.24,0
Ecuador,2005,5.12,4.77,11.15,3.05,1.76311
Egypt,2005,63.05,42.56,29.9,17.18,1.41884
El Salvador,2005,1.5,1.24,3.03,0.49,0
Equatorial Guinea,2005,,,,,2.18459
Eritrea,2005,0.28,0.04,0.18,0.08,0
Estonia,2005,12.7,1.32,2.12,0.73,0
Ethiopia,2005,0.01,1.24,2.09,1.14,0
Fiji,2005,,,,,0
Finland,2005,26.08,10.64,12.63,5.89,0
France,2005,73.26,72.88,130.69,111.5,0
Gabon,2005,0.63,0.57,0.34,0.19,2.81542
Gambia,2005,,,,,0
Georgia,2005,1.25,0.59,1.5,0.99,0
Germany,2005,367.47,120.26,154.89,157.58,2.16623
Ghana,2005,1.21,1.07,3.52,0.65,0
Greece,2005,50.03,9.41,21.67,13.91,0
Grenada,2005,,,,,0
Guatemala,2005,2.42,2.44,5.08,0.56,0
Guinea,2005,,,,,0
Guinea-Bissau,2005,,,,,0
Guyana,2005,,,,,0
Haiti,2005,0.17,0.4,1.14,0.27,0
Honduras,2005,2.29,1,2.23,1.42,0
Hungary,2005,19.51,7.78,11.8,17.28,0.03676
Iceland,2005,0.01,0.79,0.66,0.73,0
India,2005,683.94,264.47,101.62,114.33,1.88778
Indonesia,2005,122.76,98.14,73.92,40.88,8.33914
Iran,2005,129.88,64.39,103.87,123.46,22.03369
Iraq,2005,21.05,10.07,31.31,12.47,14.011
